,source_index,original_sent,simplified_sent,prompt,Lev_distance
11,27405,"An account of his experiences, which included being one of the first foreigners to visit Hiroshima after the atomic bomb was dropped, can be found in the book Warrior without Weapons.",An account of his experiences can be found in the book Warrior without Weapons.,Llama-3.1-70b-Versatile (via groq),104
12,165495,The client authenticates to the AS once using a long-term shared secret (e.g. a password) and receives a TGT from the AS.,The client authenticates to the AS using a long-term shared secret.,Llama-3.1-70b-Versatile (via groq),54
13,49042,"It was his performances of this role that would earn him the title of ""King of the High Cs"" .","He earned the title of ""King of the High Cs"" for his performances.",Llama-3.1-70b-Versatile (via groq),68
14,95091,"Ann Jillian was born Ann Jura Nauseda in 1950, although some sources mistakenly cite 1951.",Ann Jillian was born in 1950.,Llama-3.1-70b-Versatile (via groq),61
15,23480,For use on the various pages on multiple unit trains.,This is for use on multiple unit trains.,Llama-3.1-70b-Versatile (via groq),21
16,76021,"After high school, Carroll attended junior college at the nearby College of Marin, where he played football for two years (lettering in his second year) , before transferring to the University of the Pacific, where he was a member of Sigma Alpha Epsilon fraternity.",Carroll attended junior college and then transferred to the University of the Pacific.,Llama-3.1-70b-Versatile (via groq),181
17,83220,"The organization received a boost in prestige when President Andrew Jackson invited his Postmaster General, William T. Barry, to sit as a member of the Cabinet in 1829.",The organization received a boost in prestige when President Andrew Jackson invited his Postmaster General to sit as a member of the Cabinet.,Llama-3.1-70b-Versatile (via groq),27
18,136280,"His main preoccupation was how to free Germany from the burden of reparations payments to Britain and France, imposed by the Treaty of Versailles.",His main goal was to free Germany from reparations payments.,Llama-3.1-70b-Versatile (via groq),88
19,156219,It was hit quite badly by the 2005 Pakistan Earthquake.,It was hit badly by the 2005 Pakistan Earthquake.,Llama-3.1-70b-Versatile (via groq),6
20,72652,"In subsequent years, international Test cricket has generally been organised as bilateral series: a multilateral Test tournament was not organised again until the quadrangular Asian Test Championship in 1999.",International Test cricket is usually organized as bilateral series.,Llama-3.1-70b-Versatile (via groq),145
21,79337,"In the United States, the sawmill was introduced soon after the colonisation of Virginia by recruiting skilled men from Hamburg.",The sawmill was introduced to the United States soon after the colonisation of Virginia.,Llama-3.1-70b-Versatile (via groq),80
22,58453,"Xanthan gum is a common ingredient in fake blood recipes, and in gunge or slime.",Xanthan gum is used in fake blood recipes.,Llama-3.1-70b-Versatile (via groq),40
23,71503,Many mosques throughout the United States welcome non-Muslims as a sign of openness to the rest of the community as well as to encourage conversions to Islam.,Many mosques in the US welcome non-Muslims.,Llama-3.1-70b-Versatile (via groq),117
24,125041,The Sims Bustin' Out is the second title in The Sims console series.,The Sims Bustin' Out is the second title in The Sims console series.,Llama-3.1-70b-Versatile (via groq),0
25,89981,"Throughout the Graeco-Roman world, Isis became one of the most significant of the mystery religions, and many classical writers refer to her temples, cults, and rites.",Isis became a significant mystery religion in the Graeco-Roman world.,Llama-3.1-70b-Versatile (via groq),113
26,71642,Violaines is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France.,Violaines is a commune in the Pas-de-Calais department in France.,Llama-3.1-70b-Versatile (via groq),33
27,153236,"The Embassy argued that the charge is a form of taxation, not a charge for a service, and diplomats and their staff are therefore exempt under the 1961 Vienna Convention on Diplomatic Relations.",The Embassy argued that diplomats are exempt from a certain charge.,Llama-3.1-70b-Versatile (via groq),138
28,139868,A tropical cyclone struck Puerto Rico on July 23.,A tropical cyclone struck Puerto Rico on July 23.,Llama-3.1-70b-Versatile (via groq),0
29,123316,"A small number of articles might make Wikipedia 1.0, but the vast majority will not and for the balance there is no deadline.",Most articles will not make Wikipedia 1.0.,Llama-3.1-70b-Versatile (via groq),95
30,120085,"Wiley's Well is a remote, natural artesian well in the Colorado Desert of Southern California as well as the name of the region immediately surrounding it.","Wiley's Well is a remote, natural artesian well in Southern California.",Llama-3.1-70b-Versatile (via groq),84
31,146905,"When including spoilers, editors should make sure that an encyclopedic purpose is being served.",Editors should make sure spoilers serve an encyclopedic purpose.,Llama-3.1-70b-Versatile (via groq),56
32,87747,"Written by Lewis between 1949 and 1954, illustrated by Pauline Baynes and originally published in London between October 1950 and March 1956, The Chronicles of Narnia has been adapted several times, complete or in part, for radio, television, the stage, and film.",The Chronicles of Narnia was written by Lewis between 1949 and 1954.,Llama-3.1-70b-Versatile (via groq),217
33,135991,In the 1980s a reconstruction of the historic center began.,A reconstruction of the historic center began in the 1980s.,Llama-3.1-70b-Versatile (via groq),27
34,12909,"This order carried the threat of a maximum $ 10,000 fine and a maximum of ten years in prison for anyone who kept more than $ 100 of gold in preference to banknotes.",Anyone keeping more than $100 of gold could face a fine and prison.,Llama-3.1-70b-Versatile (via groq),128
35,9863,It was upgraded to a tropical storm later that day and named Hanna.,It was upgraded to a tropical storm and named Hanna.,Llama-3.1-70b-Versatile (via groq),15
36,9252,"Many spaniel breeds were developed during the 19th century, and often named after the counties in which they were developed, or after their owners, who were usually nobility. Two strains of larger land spaniel were predominant and were said to have been of ""true springer type.""",Many spaniel breeds were developed in the 19th century.,Llama-3.1-70b-Versatile (via groq),223
37,130394,"Since the move to the CW Network, Friday Night SmackDown!",Friday Night SmackDown moved to the CW Network.,Llama-3.1-70b-Versatile (via groq),45
38,71491,"During the last ten days of Ramadan, larger mosques will host all-night programs to observe Laylat al-Qadr, the night Muslims believe that Muhammad first received Qur ` anic revelations.",Larger mosques host all-night programs during Ramadan.,Llama-3.1-70b-Versatile (via groq),137
39,157441,"The region takes its name from the Balkan Mountains, which run through the center of Bulgaria into eastern Serbia.",The region is named after the Balkan Mountains.,Llama-3.1-70b-Versatile (via groq),74
40,50723,The following table shows some 2 dimensional projections of these polytopes.,The table shows 2D projections of polytopes.,Llama-3.1-70b-Versatile (via groq),33
41,33675,"For example, you create a (template) page in Wikipedia with your home mailing address and then include that template not only on your page, but all your friends' pages, too.",You can create a template page with your home address.,Llama-3.1-70b-Versatile (via groq),123
42,49444,"Later that night, Nick, considered the second strongest member after Terry, was voted out along former tribal lines, 6-4.",Nick was voted out along former tribal lines.,Llama-3.1-70b-Versatile (via groq),76
43,76179,The giant impact hypothesis thus explains the Moon's abnormal composition.,The giant impact hypothesis explains the Moon's composition.,Llama-3.1-70b-Versatile (via groq),14
44,82801,"When South Africa became a republic in 1961, Pretoria remained its administrative capital.",Pretoria remained the administrative capital of South Africa.,Llama-3.1-70b-Versatile (via groq),64
45,19134,"It's analogous to bird droppings: it might be beneficial to notice some short-term patterns, such as when cars parked under some trees get bombarded with bird droppings, but it is less useful to record all the millions of bird droppings, everywhere in the world, in a giant database of history listings.",Recording all bird droppings is not useful.,Llama-3.1-70b-Versatile (via groq),265
46,143751,"Aside from Tahiti, some other important atolls, islands, and island groups in French Polynesia are: Ahe, Bora Bora, Hiva Oa, Huahine, Maiao, Maupiti, Mehetia, Moorea, Nuku Hiva, Raiatea, Tahaa, Tetiaroa, Tubuai, and Tupai.",French Polynesia includes several important atolls and islands.,Llama-3.1-70b-Versatile (via groq),183
47,23626,Ailly-sur-Noye is a commune in the Somme department in Picardie in northern France.,Ailly-sur-Noye is a commune in the Somme department in France.,Llama-3.1-70b-Versatile (via groq),21
48,52638,"The season finale including the announcement of the winner and a live reunion of all the season's contestants at the Ed Sullivan Theater in New York City, on David Letterman's Late Show stage which was decorated to look like the set in the Amazon.",The season finale was held at the Ed Sullivan Theater in New York City.,Llama-3.1-70b-Versatile (via groq),179
49,12156,"Barthold Fles, a diabetic for several decades, died on December 19, 1989, aged 87.","Barthold Fles died on December 19, 1989, aged 87.",Llama-3.1-70b-Versatile (via groq),33
50,113498,"Zhob district is subdivided into three subdistricts: Zhob, Kakkar and Sherani.",Zhob district is subdivided into three subdistricts.,Llama-3.1-70b-Versatile (via groq),26
51,82363,"Torts may be categorised in a number of ways: one such way is to divide them into Negligence Torts, and Intentional Torts.",Torts can be divided into Negligence Torts and Intentional Torts.,Llama-3.1-70b-Versatile (via groq),58
52,118669,"Following his first movie, L'ultimo Combattimento, (1940) he produced nearly 150 films during the next seven decades.",He produced nearly 150 films over seven decades.,Llama-3.1-70b-Versatile (via groq),73
53,159619,"If the animal can not be captured, prophylactic rabies treatment is recommended in most places.",Prophylactic rabies treatment is recommended if the animal can't be captured.,Llama-3.1-70b-Versatile (via groq),60
54,105766,"Peach Orchard is a town in Clay County, Arkansas, United States.","Peach Orchard is a town in Clay County, Arkansas.",Llama-3.1-70b-Versatile (via groq),15
55,81254,"It shows a model of embryological development where fish (F) , reptiles (R) , and birds (B) represent branches from a path leading to mammals (M) .","The model shows the development of mammals from fish, reptiles, and birds.",Llama-3.1-70b-Versatile (via groq),104
56,137206,"He believes Afghanistan under the rule of Mullah Omar's Taliban was ""the only Islamic country"" in the Muslim world.",He believes Afghanistan under the Taliban was the only Islamic country.,Llama-3.1-70b-Versatile (via groq),44
57,143820,Masaru Matsuhashi is a Japanese football player currently playing for Ventforet Kofu.,Masaru Matsuhashi plays for Ventforet Kofu.,Llama-3.1-70b-Versatile (via groq),43
58,57353,Rotberg used the global bond market to increase the capital available to the bank.,Rotberg increased the bank's capital using the global bond market.,Llama-3.1-70b-Versatile (via groq),53
59,51640,A leisurely stroll around the town will reveal many fine buildings.,The town has many fine buildings.,Llama-3.1-70b-Versatile (via groq),37
60,79435,"Although he's best remembered today as the star in the first (full length) talking movie, The Jazz Singer in 1927, he later starred in a series of successful musical films throughout the 1930s.",He starred in The Jazz Singer and other musical films.,Llama-3.1-70b-Versatile (via groq),145
61,109327,The first rubber ice cube tray was invented by Lloyd Groff Copeman.,Lloyd Groff Copeman invented the rubber ice cube tray.,Llama-3.1-70b-Versatile (via groq),50
62,25814,"Over the course of the following decade their landscape painting excursions together, in Louveciennes and Pontoise, led to a collaborative working relationship between equals.",They developed a collaborative working relationship through landscape painting excursions.,Llama-3.1-70b-Versatile (via groq),130
63,138570,"However, while Mrs. Rabbit is shopping and the girls are collecting blackberries, Peter sneaks into the garden.",Peter sneaks into the garden while his family is away.,Llama-3.1-70b-Versatile (via groq),80
64,129891,"Piper also stars as Hannah Baxter\/Belle de Jour in Secret Diary of a Call Girl, an ITV2 adaptation of Belle de Jour's The Intimate Adventures of a London Call Girl, a memoir detailing the life of a high-class prostitute.",Piper stars as Hannah Baxter in Secret Diary of a Call Girl.,Llama-3.1-70b-Versatile (via groq),161
65,88288,"The University of Virginia (also The University, Mr. Jefferson's University, or Virginia; often abbreviated as U. Va. or UVA) is a public research university located in Charlottesville, Virginia, United States, founded by Thomas Jefferson.",The University of Virginia is a public research university in Charlottesville.,Llama-3.1-70b-Versatile (via groq),161
66,57278,The Athanasian Creed has been used by Christian churches since the sixth century.,The Athanasian Creed has been used by Christian churches since the sixth century.,Llama-3.1-70b-Versatile (via groq),0
67,40222,"On March 31, 2006, the amateur radio operators from AMSAT in Germany tracked and received radio waves from Voyager 1 using the 20 m dish at Bochum with a long integration technique.",Amateur radio operators tracked and received radio waves from Voyager 1.,Llama-3.1-70b-Versatile (via groq),110
68,93994,One of the best ways to go about this is to request this on the article's talk page.,Requesting changes on the article's talk page is a good idea.,Llama-3.1-70b-Versatile (via groq),62
69,123439,"In 1986, FIFA published a report that ranked all teams in each World Cup up to and including 1986, based on progress in the competition, overall results and quality of the opposition. The rankings for the 1986 tournament were as follows:",FIFA published a report ranking teams in the 1986 World Cup.,Llama-3.1-70b-Versatile (via groq),184
70,37778,"In 2004 it was reported that Lahore alone has 10,000 active transvestites.","Lahore has 10,000 active transvestites.",Llama-3.1-70b-Versatile (via groq),35
71,141203,"I Decided is a song by American singer Solange Knowles, written and composed by Knowles and producer Pharrell Williams for her second studio album Sol-Angel and the Hadley St. Dreams (2008) .",I Decided is a song by Solange Knowles.,Llama-3.1-70b-Versatile (via groq),152
72,94345,"Mudrick portrayed Austen as isolated, defensive, and critical of her society, and described in detail the relationship he saw between Austen's attitude toward contemporary literature and her use of irony as a technique to contrast the realities of her society with what she felt they should be.",Mudrick described Austen's attitude toward her society and her use of irony.,Llama-3.1-70b-Versatile (via groq),224
73,32581,"Extremely rare sightings of whooping cranes have been recorded, however only three examples of this species are known to live in the Rocky Mountains, out of 385 known worldwide.",Only three whooping cranes are known to live in the Rocky Mountains.,Llama-3.1-70b-Versatile (via groq),114
74,103202,"Anne Marie was displaced as his heir by the birth of the Old Pretender's son, Charles Edward Stuart (""Bonnie Prince Charlie"") , on 31 December 1720.",Anne Marie was displaced as heir by the birth of Charles Edward Stuart.,Llama-3.1-70b-Versatile (via groq),77
75,69124,"At the same time, the Central Bank of China (now known as the Central Bank of the Republic of China) began issuing New Taiwan dollar banknotes directly and the old notes issued by the Bank of Taiwan were taken out of circulation.",The Central Bank of China began issuing New Taiwan dollar banknotes.,Llama-3.1-70b-Versatile (via groq),162
76,160298,"Olivine in general is a very abundant mineral, but gem quality peridot is rather rare.",Gem quality peridot is rare.,Llama-3.1-70b-Versatile (via groq),59
77,23710,"According to the 2002 Romanian census there are a total of 35,791 Lipovans in Romania, of whom 21,623 living in Dobruja.","There are 35,791 Lipovans in Romania.",Llama-3.1-70b-Versatile (via groq),84
78,88257,"Shillong (Khasi: Shillong) is the capital of Meghalaya, one of the smallest states in India and home to the Khasis.",Shillong is the capital of Meghalaya.,Llama-3.1-70b-Versatile (via groq),78
79,159308,"It is used by many mathematics journals, which ask authors of research papers and expository articles to list subject codes from the Mathematics Subject Classification in their papers.",The Mathematics Subject Classification is used by many mathematics journals.,Llama-3.1-70b-Versatile (via groq),133
80,35768,Nixon appeared at one of Graham's revivals in East Tennessee in 1970; the event drew one of the largest crowds to ever gather in Tennessee.,Nixon appeared at one of Graham's revivals in East Tennessee.,Llama-3.1-70b-Versatile (via groq),78
81,11284,"At the end of the 1990s, the then stadium owners Barnsley Football Club were considering re-developing the West Stand after several seasons of high attendances, however with the rapid decline in fortunes of the football club, subsequent sale of the stadium and new club ownership these plans are unlikely to come to fruition in the near future.",The stadium owners considered re-developing the West Stand.,Llama-3.1-70b-Versatile (via groq),288
82,135657,"All belong to the large order Perciformes, or perch-like fishes, and in fact the word bass comes from Middle English bars, meaning ""perch.""","Bass comes from Middle English bars, meaning ""perch.""",Llama-3.1-70b-Versatile (via groq),87
83,63493,Read-write snapshots are branching snapshots because they implicitly allow diverging versions of an LV.,Read-write snapshots allow diverging versions of an LV.,Llama-3.1-70b-Versatile (via groq),48
84,145300,Organisers called it the biggest anti-nuclear demonstration the country has seen.,The anti-nuclear demonstration was the biggest in the country.,Llama-3.1-70b-Versatile (via groq),52
85,55416,"Historically, the practice of green manuring can be traced back to the fallow cycle of crop rotation, which was used to allow soils to recover.",Green manuring can be traced back to the fallow cycle of crop rotation.,Llama-3.1-70b-Versatile (via groq),73
86,47291,"It took place on January 31, 2010 at the Philips Arena in Atlanta, Georgia and featured talent from the Raw, SmackDown and ECW brands.",The event took place at the Philips Arena in Atlanta.,Llama-3.1-70b-Versatile (via groq),96
87,99236,"Up jumped the swagman and sprang into the billabong, ""You'll never catch me alive"" , said he, And his ghost may be heard as you pass by that billabong, ""You'll come a-Waltzing Matilda, with me"" .","The swagman jumped into the billabong and said ""You'll never catch me alive.""",Llama-3.1-70b-Versatile (via groq),140
88,8046,This enormous diversity of antibodies allows the immune system to recognize an equally wide variety of antigens.,The immune system can recognize a wide variety of antigens.,Llama-3.1-70b-Versatile (via groq),57
89,8244,"Kevin Forrest Cash (born December 6, 1977 in Tampa, Florida) is a Major League Baseball catcher who is in the Texas Rangers organization.",Kevin Forrest Cash is a Major League Baseball catcher.,Llama-3.1-70b-Versatile (via groq),83
90,20958,"This system replaces each diacritic with an x after the letter, producing the six digraphs cx, gx, hx, jx, sx, and ux.",The system replaces diacritics with an x after the letter.,Llama-3.1-70b-Versatile (via groq),63
91,143218,It is the county seat of Marshall County.,It is the county seat of Marshall County.,Llama-3.1-70b-Versatile (via groq),0
92,119650,... The book must be ` one of the most skilful pastiches in the history of literature.,The book is one of the most skilful pastiches in literature.,Llama-3.1-70b-Versatile (via groq),27
93,22785,Adams headed back to Europe and played in East Berlin and later West Berlin.,Adams played in East Berlin and West Berlin.,Llama-3.1-70b-Versatile (via groq),32
94,57318,The independence of Pakistan in 1947 led to the divisions of the Punjab province into two new provinces.,The independence of Pakistan led to the divisions of the Punjab province.,Llama-3.1-70b-Versatile (via groq),31
95,120041,"Bluetooth exists in many products, such as the iPod Touch, Lego Mindstorms NXT, PlayStation 3, PSP Go, telephones, the Nintendo Wii, and some high definition headsets, modems, and watches.",Bluetooth exists in many products.,Llama-3.1-70b-Versatile (via groq),154
96,121823,It is intended to be paired with and uses the same arguments.,It is intended to be paired with and uses the same arguments.,Llama-3.1-70b-Versatile (via groq),0
97,75303,"The song peaked at number six on the Billboard alternative rock chart, making it the band's second top 10 single (the first being previous single ""Prayer of the Refugee"") and highest charting single from the album.",The song peaked at number six on the Billboard alternative rock chart.,Llama-3.1-70b-Versatile (via groq),144
98,43485,"Ferydoon Zandi (, born in Emden, Germany, on April 26, 1979) is a German-Iranian football midfielder.",Ferydoon Zandi is a German-Iranian football midfielder.,Llama-3.1-70b-Versatile (via groq),46
99,107313,"IBM introduced a series of more affordable computers, the IBM 650 (1954) , IBM 1620 (1959) , IBM 1130 (1965) addressed to the science and engineering market.",IBM introduced more affordable computers for the science and engineering market.,Llama-3.1-70b-Versatile (via groq),79
