,source_index,original_sent,simplified_sent,prompt,Lev_distance
38,2748,Am Samstag sind 2 wichtige Öl-Anlagen in Saudi-Arabien durch Drohnenangriffe beschädigt worden.,Zwei Öl-Anlagen in Saudi-Arabien wurden beschädigt.,Llama-3.1-70b-Versatile (via groq),48
39,5114,3 Menschen starben bei Absturz von Lösch-Flugzeug in Australien.,3 Menschen starben bei einem Flugzeugabsturz.,Llama-3.1-70b-Versatile (via groq),29
40,8616,In vielen Autos gibt es eine Freisprech-Einrichtung.,In vielen Autos gibt es eine Freisprech-Einrichtung.,Llama-3.1-70b-Versatile (via groq),0
41,7617,Schwarz-Arbeit ist illegal.,Schwarz-Arbeit ist verboten.,Llama-3.1-70b-Versatile (via groq),8
42,4494,In der spanischen Hauptstadt Madrid hat vom 2. bis zum 15 Dezember die UNO-Klima-Konferenz stattgefunden.,In Madrid hat die UNO-Klima-Konferenz stattgefunden.,Llama-3.1-70b-Versatile (via groq),53
43,12896,Grund für den Lockdown sind die vielen Corona-Neuinfektionen.,Der Lockdown ist wegen der Corona-Neuinfektionen.,Llama-3.1-70b-Versatile (via groq),23
44,5433,In China ist vor kurzem ein neuer Virus ausgebrochen.,In China ist ein neuer Virus ausgebrochen.,Llama-3.1-70b-Versatile (via groq),11
45,11553,"Sie hat am Sonntag angekündigt, es zu blockieren.","Sie hat angekündigt, es zu blockieren.",Llama-3.1-70b-Versatile (via groq),11
46,6562,Die Soldaten werden auch an Hotline-Telefonnummern eingesetzt.,Die Soldaten werden an Hotline-Telefonnummern eingesetzt.,Llama-3.1-70b-Versatile (via groq),5
47,5430,49 Prozent der befragten US-Bürger sind zufrieden mit seiner Arbeit als Präsident.,49 Prozent der US-Bürger sind zufrieden mit dem Präsidenten.,Llama-3.1-70b-Versatile (via groq),28
48,9056,"Die Schulen wissen noch immer nicht, wie im September der Unterricht gestaltet werden soll.","Die Schulen wissen noch nicht, wie der Unterricht im September laufen soll.",Llama-3.1-70b-Versatile (via groq),32
49,8044,"Ein Handy-Video zeigt, dass bei dem Einsatz ein weißer Polizist mehr als 5 Minuten lang auf Floyds Genick kniete.","Ein Video zeigt, dass ein Polizist mehr als 5 Minuten auf Floyds Genick kniete.",Llama-3.1-70b-Versatile (via groq),34
50,6486,Die Grenze zu Deutschland ist geschlossen.,Die Grenze zu Deutschland ist geschlossen.,Llama-3.1-70b-Versatile (via groq),0
51,8396,"Ist jemand mit dem Corona-Virus infiziert, dann kommt der Virus ins Wasser, wenn derjenige aufs Klo muss.","Wenn jemand mit dem Corona-Virus infiziert ist, kann der Virus ins Wasser gelangen, wenn er aufs Klo geht.",Llama-3.1-70b-Versatile (via groq),30
52,5334,Der Chef der Regierung heißt Premierminister.,Der Chef der Regierung heißt Premierminister.,Llama-3.1-70b-Versatile (via groq),0
53,1951,Die Temperaturen erreichen 20 bis 27 Grad.,Die Temperaturen liegen zwischen 20 und 27 Grad.,Llama-3.1-70b-Versatile (via groq),12
54,9163,"Die beiden Männer aus den USA waren Ende Mai mit dem Raumschiff ""Crew Dragon"" zur internationalen Raumstation ISS geflogen.","Zwei Männer aus den USA sind mit dem Raumschiff ""Crew Dragon"" zur Raumstation ISS geflogen.",Llama-3.1-70b-Versatile (via groq),36
55,6343,Die meisten Corona-Fälle in Österreich gibt es in Tirol.,Die meisten Corona-Fälle in Österreich gibt es in Tirol.,Llama-3.1-70b-Versatile (via groq),0
56,1751,Die Grünen können an der Nationalrats-Wahl teilnehmen.,Die Grünen dürfen an der Nationalrats-Wahl teilnehmen.,Llama-3.1-70b-Versatile (via groq),4
57,924,"Oft passieren Unfälle mit Kindern, die zu Fuß oder mit dem Rad unterwegs waren.","Oft passieren Unfälle mit Kindern, die zu Fuß oder mit dem Rad unterwegs sind.",Llama-3.1-70b-Versatile (via groq),5
58,2773,Die Tierfamilie besteht nun aus 8 Affen.,Die Affen-Familie besteht jetzt aus 8 Affen.,Llama-3.1-70b-Versatile (via groq),11
59,641,"Eine Razzia wird meistens genau geplant, damit niemand entkommen kann.","Eine Razzia wird genau geplant, damit niemand entkommen kann.",Llama-3.1-70b-Versatile (via groq),9
60,6418,So können zum Beispiel größere Ansammlungen von Menschen entdeckt werden.,So können große Menschenmengen entdeckt werden.,Llama-3.1-70b-Versatile (via groq),34
61,12443,"Österreich will ihn aber auch einführen, wenn sich die EU doch dagegen entschließt.","Österreich will etwas einführen, auch wenn die EU dagegen ist.",Llama-3.1-70b-Versatile (via groq),33
62,675,Auf dem Sarg liegt Laudas Rennhelm.,Auf dem Sarg liegt Laudas Rennhelm.,Llama-3.1-70b-Versatile (via groq),0
63,11257,In 3 Wochen wird sie die zweite Impfung erhalten.,Sie wird in 3 Wochen ihre zweite Impfung erhalten.,Llama-3.1-70b-Versatile (via groq),20
64,7229,Im Friseur-Laden müssen die Kunden genügend Abstand zu anderen Kunden halten.,Im Friseur-Laden müssen die Kunden Abstand zu anderen Kunden halten.,Llama-3.1-70b-Versatile (via groq),9
65,8516,Salzburg liegt derzeit mit großem Vorsprung an erster Stelle in der Bundesliga.,Salzburg liegt derzeit an erster Stelle in der Bundesliga.,Llama-3.1-70b-Versatile (via groq),21
66,6856,Wegen der Corona-Krise hat man keine Speisen von Lokalen abholen dürfen.,Wegen der Corona-Krise durften keine Speisen von Lokalen abgeholt werden.,Llama-3.1-70b-Versatile (via groq),13
67,6446,"Alle 4 Jahre finden die Sommerspiele statt, und dazwischen alle 4 Jahre die Winterspiele.","Alle 4 Jahre finden die Sommerspiele statt, und dazwischen die Winterspiele.",Llama-3.1-70b-Versatile (via groq),13
68,6921,In Wien gibt es eigenes Zeichen für Maskenpflicht in Verkehrsmitteln.,In Wien gibt es ein eigenes Zeichen für Maskenpflicht in Verkehrsmitteln.,Llama-3.1-70b-Versatile (via groq),4
69,2096,In Italien bilden die Parteien Lega und 5 Sterne gemeinsam die Regierung.,In Italien bilden zwei Parteien gemeinsam die Regierung.,Llama-3.1-70b-Versatile (via groq),21
70,5951,Ludwig zeigte sich begeistert von seinem Paten-Tier.,Ludwig war begeistert von seinem Paten-Tier.,Llama-3.1-70b-Versatile (via groq),11
71,3116,"Es kann aber auch sein, dass der Mann psychische Probleme hatte.",Der Mann könnte psychische Probleme gehabt haben.,Llama-3.1-70b-Versatile (via groq),39
72,1330,Eigentlich hätte es dieses Verbot längst geben sollen.,Es hätte längst ein Verbot geben sollen.,Llama-3.1-70b-Versatile (via groq),25
73,5401,Die EU-Kommission will Krebs besser bekämpfen.,Die EU-Kommission will Krebs besser bekämpfen.,Llama-3.1-70b-Versatile (via groq),0
74,3230,Vor 15 Jahren bekam schon die Schriftstellerin Elfriede Jelinek den Literatur-Nobelpreis.,Vor 15 Jahren bekam Elfriede Jelinek den Literatur-Nobelpreis.,Llama-3.1-70b-Versatile (via groq),27
75,12081,"Im stärksten Winter-Bundesland Tirol rechnet das Wifo nur mit 3,1 Millionen Nächtigungen.","In Tirol rechnet man mit nur 3,1 Millionen Nächtigungen.",Llama-3.1-70b-Versatile (via groq),37
76,6434,"Schulen, Restaurants und die meisten Geschäfte sind geschlossen.","Schulen, Restaurants und Geschäfte sind geschlossen.",Llama-3.1-70b-Versatile (via groq),12
77,12709,Wenig später wurde ein 21-jähriger Mann verhaftet.,Ein 21-jähriger Mann wurde verhaftet.,Llama-3.1-70b-Versatile (via groq),26
78,12631,"48.500 Menschen haben sich bereits für die Impfung angemeldet, das sind 76 Prozent aller Berechtigten in dem Bezirk.",48.500 Menschen haben sich für die Impfung angemeldet.,Llama-3.1-70b-Versatile (via groq),62
79,7921,Oder in ihrem Zuhause fehlt das Internet.,Oder es fehlt das Internet zu Hause.,Llama-3.1-70b-Versatile (via groq),23
80,8420,Seit Montag kann man in Österreich das Klima-Volksbegehren unterstützen.,Seit Montag kann man in Österreich das Klima-Volksbegehren unterstützen.,Llama-3.1-70b-Versatile (via groq),0
81,4844,"Vor allem Tiere wie Koalas, Kängurus und Vögel sind durch die Brände getötet worden.",Viele Tiere wie Koalas und Vögel sind durch die Brände getötet worden.,Llama-3.1-70b-Versatile (via groq),16
82,6961,Wegen dem Corona-Virus waren viele Geschäfte in Österreich seit einem Monat zu.,Viele Geschäfte in Österreich waren wegen des Corona-Virus geschlossen.,Llama-3.1-70b-Versatile (via groq),60
83,686,ÖVP nominierte Kurz zum Spitzen-Kandidaten für die Nationalrats-Wahl.,Die ÖVP nominierte Kurz zum Spitzen-Kandidaten.,Llama-3.1-70b-Versatile (via groq),30
84,10647,Im Bundesländer-Vergleich haben die Steirer im Vorjahr am meisten gespart.,Die Steirer haben im Vorjahr am meisten gespart.,Llama-3.1-70b-Versatile (via groq),33
85,12831,"Die Impf-Dosen sollten offenbar heimlich ins Ausland gebracht werden, obwohl in der EU noch viele Impfdosen fehlen.",Die Impf-Dosen sollten heimlich ins Ausland gebracht werden.,Llama-3.1-70b-Versatile (via groq),55
86,8730,Weitere Verdächtige waren am Mittwochnachmittag noch auf der Flucht.,Weitere Verdächtige sind auf der Flucht.,Llama-3.1-70b-Versatile (via groq),30
87,6547,Die Nacht wird also eine Stunde kürzer sein.,Die Nacht wird eine Stunde kürzer.,Llama-3.1-70b-Versatile (via groq),10
88,1830,"Die meisten Asyl-Anträge kommen von Menschen aus Afghanistan, Syrien, Iran und dem Irak.",Die meisten Asyl-Anträge kommen von Menschen aus Afghanistan und Syrien.,Llama-3.1-70b-Versatile (via groq),22
89,1599,"Donald Trump drohte deshalb, Nordkorea zu vernichten.","Donald Trump drohte, Nordkorea zu vernichten.",Llama-3.1-70b-Versatile (via groq),8
90,1756,14-jähriger Bub soll seine eigene Mutter erstochen haben.,Ein 14-jähriger Junge soll seine Mutter erstochen haben.,Llama-3.1-70b-Versatile (via groq),15
91,6744,"Die österreichische Regierung denkt darüber nach, langsam wieder die Geschäfte zu öffnen.","Die Regierung denkt darüber nach, die Geschäfte wieder zu öffnen.",Llama-3.1-70b-Versatile (via groq),38
92,263,41 Tote bei Flugzeug-Notlandung in Moskau.,41 Menschen starben bei einer Flugzeug-Notlandung in Moskau.,Llama-3.1-70b-Versatile (via groq),20
93,4273,Auf diese Weise soll die Frau illegal mehr als 4 Millionen Euro bekommen haben.,Eine Frau soll illegal mehr als 4 Millionen Euro bekommen haben.,Llama-3.1-70b-Versatile (via groq),21
94,6440,Zurzeit werden weltweit viele sportliche Ereignisse und Wettbewerbe abgesagt.,Viele sportliche Ereignisse werden abgesagt.,Llama-3.1-70b-Versatile (via groq),37
95,10306,Derzeit sind in Österreich 9.930 Menschen in Österreich mit dem Virus angesteckt.,Derzeit sind 9.930 Menschen in Österreich mit dem Virus angesteckt.,Llama-3.1-70b-Versatile (via groq),14
96,7140,Das Gemüse hat eine gelbe Schale mit violetten Streifen.,Das Gemüse hat eine gelbe Schale mit violetten Streifen.,Llama-3.1-70b-Versatile (via groq),0
97,5457,Danach brach das Flugzeug in mehrere Teile und geriet teilweise in Brand.,Das Flugzeug brach in mehrere Teile und geriet in Brand.,Llama-3.1-70b-Versatile (via groq),29
98,11914,Darum hat im Jahr 2020 die Schwarz-Arbeit in Österreich stark zugenommen.,Die Schwarz-Arbeit in Österreich hat 2020 stark zugenommen.,Llama-3.1-70b-Versatile (via groq),32
99,8520,"Heute sind 193 Länder Mitglieder der UNO, das sind fast alle Länder der Welt.",Fast alle Länder der Welt sind Mitglieder der UNO.,Llama-3.1-70b-Versatile (via groq),44
